objno_deep2,z_pred
12011416,0.5890840692244577
12023279,0.8484058455276572
13017399,1.010175485842658
12008131,0.49674534782221497
12003729,0.5898547761234344
12003313,0.252778860507353
11021040,0.6209542174211548
13020559,0.8528078910996665
14029818,0.7661070484258249
13049159,0.6932750767444488
13026194,1.0798953549897643
13028427,0.7280473330204803
13035570,0.6663142083200743
13018058,0.4069220138093074
12005533,0.65499654338678
12027865,1.2197141060916565
14028737,0.834528065538898
13034892,0.8284112054921944
13058802,0.5450194876033342
13034266,0.7225597241865915
12015933,1.3217746616253856
13019356,0.7661070484258249
13043664,0.6472951966604474
13026703,0.8909865169261704
14034435,0.4250361169246256
11045189,0.4782315448546781
12029430,0.426246571985547
12020460,0.5462673348658937
11051190,0.4989623516380668
12020226,1.1660868917820193
13064313,0.8048100310459182
12029047,0.8550156380406858
13064464,0.6813959752002088
14024652,0.9921886027413883
14012814,0.7661070484258249
14021539,0.7661070484258249
13058710,0.5712338032901013
11027452,0.8276232022785774
13026761,0.8099887928279839
13055360,0.8265354158869508
12024872,0.9330078635025781
12021021,0.7661070484258249
11051962,0.33978831905794404
12027965,0.5087783079890654
13051672,0.7827108798332465
11032750,0.41765681739559135
13055272,0.6744414836892171
11101473,0.7661070484258249
11006363,0.8546633086844688
11034334,0.8687117246829945
11033434,0.4425612594533467
14028987,0.6193275469410403
12004729,0.9986128505120299
14018493,0.5541056241985097
13020183,0.8800653339982402
13010247,1.0544048915845958
13003917,0.7661070484258249
12012294,0.9358723248038571
11051724,0.41994803623863497
13032491,0.6009042490304156
12101115,1.248245547808967
12028825,0.6979111926862395
11040256,0.6330488701178879
14034601,1.0681521363484014
14023103,0.5194724796019335
11015202,0.37753682339131656
14011252,0.6547801585758714
12028457,0.5131440530069044
12007663,0.9725920407069091
14028119,1.1672523858407795
14007176,0.42865301627199826
12025109,0.29327605991198896
14028452,0.7426155241558416
11013937,0.6410929288893064
12017074,0.6849415640605353
14016678,1.114487493839977
14033288,0.4559455494047788
12029045,0.6154508981030825
13026732,0.8693754118196734
13027026,1.074999227276903
13025375,0.7492520808270682
13012069,0.5706564029178248
12007621,0.7250875858559924
12016619,0.7496787005216493
12007683,0.9903418829349735
11045638,1.1506562633222732
13005509,0.35038764012829393
13032755,1.0137997029326682
12003637,1.0249437634674252
12028626,0.823154147857762
12032544,0.2968093506961954
14017935,0.6866391191728858
13040732,0.568826270770362
11044620,0.2163608116699564
13034445,1.0869191900520307
13035996,1.0511493611146872
11051648,0.790568041072579
11046508,0.4232652401304269
12024336,0.9365830708550785
13051230,0.31538571323927417
12009171,0.9116613914835546
12032532,0.753869051695798
11007823,0.2819282504510013
14011560,1.024470151976027
13019862,0.3551971630306877
13026080,0.8668482420938336
13035330,0.3613569914535943
12029226,0.9268036908796584
12012494,0.5255203457434152
14018277,0.41296404614373045
13040940,1.0220438497046638
13034137,0.9255692344860362
12023760,0.3100578865305045
12028365,0.39169786194537004
11033809,1.0358658719981177
11045168,1.050633528987855
12016592,0.5078483741655452
11007873,0.3403760671188751
13063785,0.5985431668148904
13011113,0.49016701766691
14016865,0.6800373018582203
11045186,0.5522906094257269
14034659,0.40943808528297165
12024884,0.8049109638132217
12015938,1.0680084410623398
14011284,0.7076469923319438
11031171,0.28550764915049887
13010923,0.6978815955540473
12008251,1.2027153863025948
13035874,0.9149606764379307
12012513,0.5301298836546935
13003434,0.7295163398906683
14018687,0.6888492901503357
12005419,1.0139003146372507
13049865,0.6289407331052181
12024755,0.8177958437912209
14006846,0.537803847640225
14023227,0.541797697009526
11027394,0.8636470625919986
11033559,0.43439814116313474
14006887,0.3679786450313708
12019713,0.3732915359295173
12019135,0.6577394248606212
13040908,0.5205681494596032
13101049,0.707126160465217
11047070,0.52581964996791
14016263,0.7479156168175931
13020587,0.23330357269453303
12012782,0.5293839984984463
12101118,0.7718398966613087
13020535,0.2813079106879674
12028551,0.768726351574376
14012641,0.9032993988878678
13025271,0.6663888045916408
14006544,0.6152717528122338
13011059,0.7609571975396979
13055576,0.7661070484258249
13025832,0.6665634435108142
12012068,0.6818059984465499
13063861,0.633684350130217
11052736,0.4265591085950043
12012433,0.495342239466382
14022965,0.9980851761654782
11046356,0.7495000149305834
14027841,0.47273004914995054
11014351,1.0495548577100535
14034483,0.38275046602891305
12004443,0.6615777903394615
12025024,1.0998375554733055
13010951,0.6219645473485109
13063832,1.0817251814617632
12024917,0.18476210887730865
11051726,0.934939134693605
13057557,0.6991680812371023
14027397,0.6555990057732125
11044350,0.8184173502459023
12019902,1.149881645951459
11044680,0.7666118945731686
13027445,0.31945514253068674
13017202,0.7258602208065307
12012794,0.6847848392061174
13027139,0.714535423786787
12027358,0.7984777168381683
11040228,0.7382104566389543
11050883,0.7661070484258249
